demo_path,demo_name,label,label_name,tick,round,killer_name,killer_steamid64,victim_name,victim_steamid64,weapon,is_headshot,through_smoke,penetrated_objects,kill_distance,window_ticks,pct_victim_spotted,angular_offset_at_kill_deg,min_hidden_angular_offset_deg,max_hidden_angular_offset_deg,hidden_tracking_slope_deg_per_tick,victim_audible_footsteps,victim_audible_weapon_fire,victim_audible_jumps,ticks_since_last_victim_sound,killer_avg_speed_units_per_tick,killer_scoped_at_kill
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,3327,1,StarvinMonkey,76561197962044745,#FreeLee,76561198264607853,Glock-18,true,false,0,21.210693,202,0.138614,0.4709,1.1396,20.4968,-0.074937,0,0,0,-1,3.5790,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,3566,1,Zax,76561198148904733,Nibuz,76561199441630373,Glock-18,true,true,0,21.033426,202,0.000000,0.5588,0.5588,48.3591,-0.289274,0,3,0,7,3.8776,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,3635,1,ZzZAkount,76561199087862438,Tora,76561198074972187,USP-S,false,false,0,6.441441,202,0.212871,4.8784,2.1041,9.0711,0.007385,1,4,1,6,2.1136,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,3776,1,jamba,76561198149037466,ZzZAkount,76561199087862438,Glock-18,true,false,0,6.767273,202,0.237624,0.5918,2.3816,37.3480,-0.062129,0,11,0,28,3.1180,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,4092,1,drank was here lol,76561199124208816,Zax,76561198148904733,USP-S,true,false,0,13.395865,202,0.356436,0.8342,1.6254,11.6601,-0.042218,0,0,0,-1,1.6928,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,4174,1,FallenAngel,76561199480229355,Shouta,76561198084958646,USP-S,true,false,0,12.630482,202,0.410891,3.1994,5.2134,171.2890,-1.876737,0,5,0,11,2.3012,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,4609,1,StarvinMonkey,76561197962044745,drank was here lol,76561199124208816,USP-S,true,true,0,25.799917,202,0.000000,0.4086,0.1509,11.5992,-0.065782,0,3,0,12,2.1157,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,5276,1,jamba,76561198149037466,FallenAngel,76561199480229355,Glock-18,true,false,0,15.571395,202,0.000000,2.4518,0.6719,23.8630,-0.091361,0,4,0,13,2.2979,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,8104,2,Tora,76561198074972187,ZzZAkount,76561199087862438,MAC-10,false,false,0,9.324389,202,0.366337,7.2788,0.7934,8.9163,0.013475,0,3,0,1,3.2479,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,8461,2,jamba,76561198149037466,drank was here lol,76561199124208816,Galil AR,false,false,0,3.159528,202,0.000000,10.1823,0.0917,127.3202,-0.672754,0,1,0,17,2.5126,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,8638,2,Nibuz,76561199441630373,StarvinMonkey,76561197962044745,USP-S,false,false,0,15.721646,202,0.222772,2.0914,0.4287,9.1423,-0.008218,0,0,0,-1,1.2948,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,9807,2,FallenAngel,76561199480229355,jamba,76561198149037466,Desert Eagle,false,false,0,27.034618,202,0.321782,0.1811,4.2262,16.8356,-0.088095,0,3,0,31,0.7791,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,9886,2,#FreeLee,76561198264607853,Shouta,76561198084958646,Desert Eagle,true,false,0,15.862723,202,0.019802,0.5722,0.2055,20.6964,0.000807,0,4,0,10,1.9153,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,10241,2,#FreeLee,76561198264607853,Zax,76561198148904733,Desert Eagle,false,false,0,22.182766,202,0.336634,1.4793,0.6290,8.8371,0.009430,0,27,0,2,1.5646,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,10417,2,Nibuz,76561199441630373,Tora,76561198074972187,USP-S,true,false,0,18.197119,202,0.212871,1.3870,1.5218,26.5152,-0.127891,0,0,0,-1,3.4020,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,13912,3,drank was here lol,76561199124208816,Tora,76561198074972187,Zeus x27,false,false,0,3.077145,202,0.000000,8.9272,4.5693,72.3463,-0.287574,0,0,0,-1,1.3298,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,14036,3,jamba,76561198149037466,ZzZAkount,76561199087862438,Galil AR,false,false,0,7.085448,202,0.202970,7.1954,4.1858,84.3819,-0.350440,0,5,0,4,2.0950,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,14864,3,jamba,76561198149037466,Nibuz,76561199441630373,M4A1,false,false,0,8.226947,202,0.000000,4.7447,1.9045,172.8486,-0.733241,0,15,0,5,1.4562,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,15057,3,drank was here lol,76561199124208816,Zax,76561198148904733,R8 Revolver,false,false,1,6.056259,202,0.361386,7.1822,0.2178,13.4994,0.003512,0,2,0,24,1.6830,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,15284,3,jamba,76561198149037466,drank was here lol,76561199124208816,M4A1,false,false,0,7.217434,202,0.000000,3.4498,2.9385,34.8362,-0.091946,0,0,0,-1,2.3682,false
F:\demoparser\demoinfocs-golang\test\cs-demos\match730_003767086549414445346_0747667044_392.dem,match730_003767086549414445346_0747667044_392.dem,-1,unknown,15643,3,#FreeLee,76561198264607853,Shouta,76561198084958646,M4A1,false,false,0,11.851831,202,0.292079,2.3220,14.0073,35.8442,-0.067627,0,0,0,-1,1.7065,false
